GEO.id,GEO.id2,GEO.display-label,POPGROUP.id,POPGROUP.display-label,EST_VC11,MOE_VC11,EST_VC12,MOE_VC12,EST_VC13,MOE_VC13,EST_VC15,MOE_VC15,EST_VC16,MOE_VC16,EST_VC17,MOE_VC17,EST_VC18,MOE_VC18,EST_VC19,MOE_VC19,EST_VC20,MOE_VC20,EST_VC21,MOE_VC21,EST_VC22,MOE_VC22,EST_VC23,MOE_VC23,EST_VC25,MOE_VC25,EST_VC32,MOE_VC32,EST_VC33,MOE_VC33,EST_VC34,MOE_VC34,EST_VC36,MOE_VC36,EST_VC37,MOE_VC37,EST_VC38,MOE_VC38,EST_VC40,MOE_VC40,EST_VC41,MOE_VC41,EST_VC42,MOE_VC42,EST_VC44,MOE_VC44,EST_VC45,MOE_VC45,EST_VC46,MOE_VC46,EST_VC48,MOE_VC48,EST_VC49,MOE_VC49,EST_VC50,MOE_VC50,EST_VC123,MOE_VC123,EST_VC124,MOE_VC124,EST_VC125,MOE_VC125,EST_VC126,MOE_VC126,EST_VC127,MOE_VC127,EST_VC128,MOE_VC128,EST_VC130,MOE_VC130,EST_VC131,MOE_VC131,EST_VC132,MOE_VC132,EST_VC133,MOE_VC133,EST_VC134,MOE_VC134,EST_VC135,MOE_VC135,EST_VC139,MOE_VC139,EST_VC300,MOE_VC300
Id,Id2,Geography,Id,Population Group,Estimate; SEX AND AGE - Total population,Margin of Error; SEX AND AGE - Total population,Estimate; SEX AND AGE - Male,Margin of Error; SEX AND AGE - Male,Estimate; SEX AND AGE - Female,Margin of Error; SEX AND AGE - Female,Estimate; SEX AND AGE - Under 5 years,Margin of Error; SEX AND AGE - Under 5 years,Estimate; SEX AND AGE - 5 to 17 years,Margin of Error; SEX AND AGE - 5 to 17 years,Estimate; SEX AND AGE - 18 to 24 years,Margin of Error; SEX AND AGE - 18 to 24 years,Estimate; SEX AND AGE - 25 to 34 years,Margin of Error; SEX AND AGE - 25 to 34 years,Estimate; SEX AND AGE - 35 to 44 years,Margin of Error; SEX AND AGE - 35 to 44 years,Estimate; SEX AND AGE - 45 to 54 years,Margin of Error; SEX AND AGE - 45 to 54 years,Estimate; SEX AND AGE - 55 to 64 years,Margin of Error; SEX AND AGE - 55 to 64 years,Estimate; SEX AND AGE - 65 to 74 years,Margin of Error; SEX AND AGE - 65 to 74 years,Estimate; SEX AND AGE - 75 years and over,Margin of Error; SEX AND AGE - 75 years and over,Estimate; SEX AND AGE - Median age (years),Margin of Error; SEX AND AGE - Median age (years),Estimate; SEX AND AGE - Under 18 years,Margin of Error; SEX AND AGE - Under 18 years,Estimate; SEX AND AGE - Male,Margin of Error; SEX AND AGE - Male,Estimate; SEX AND AGE - Female,Margin of Error; SEX AND AGE - Female,Estimate; SEX AND AGE - 18 years and over,Margin of Error; SEX AND AGE - 18 years and over,Estimate; SEX AND AGE - Male,Margin of Error; SEX AND AGE - Male,Estimate; SEX AND AGE - Female,Margin of Error; SEX AND AGE - Female,Estimate; SEX AND AGE - 18 to 34 years,Margin of Error; SEX AND AGE - 18 to 34 years,Estimate; SEX AND AGE - Male,Margin of Error; SEX AND AGE - Male,Estimate; SEX AND AGE - Female,Margin of Error; SEX AND AGE - Female,Estimate; SEX AND AGE - 35 to 64 years,Margin of Error; SEX AND AGE - 35 to 64 years,Estimate; SEX AND AGE - Male,Margin of Error; SEX AND AGE - Male,Estimate; SEX AND AGE - Female,Margin of Error; SEX AND AGE - Female,Estimate; SEX AND AGE - 65 years and over,Margin of Error; SEX AND AGE - 65 years and over,Estimate; SEX AND AGE - Male,Margin of Error; SEX AND AGE - Male,Estimate; SEX AND AGE - Female,Margin of Error; SEX AND AGE - Female,Estimate; EDUCATIONAL ATTAINMENT - Population 25 years and over,Margin of Error; EDUCATIONAL ATTAINMENT - Population 25 years and over,Estimate; EDUCATIONAL ATTAINMENT - Less than high school diploma,Margin of Error; EDUCATIONAL ATTAINMENT - Less than high school diploma,Estimate; EDUCATIONAL ATTAINMENT - High school graduate (includes equivalency),Margin of Error; EDUCATIONAL ATTAINMENT - High school graduate (includes equivalency),Estimate; EDUCATIONAL ATTAINMENT - Some college or associate's degree,Margin of Error; EDUCATIONAL ATTAINMENT - Some college or associate's degree,Estimate; EDUCATIONAL ATTAINMENT - Bachelor's degree,Margin of Error; EDUCATIONAL ATTAINMENT - Bachelor's degree,Estimate; EDUCATIONAL ATTAINMENT - Graduate or professional degree,Margin of Error; EDUCATIONAL ATTAINMENT - Graduate or professional degree,Estimate; EDUCATIONAL ATTAINMENT - High school graduate or higher,Margin of Error; EDUCATIONAL ATTAINMENT - High school graduate or higher,"Estimate; EDUCATIONAL ATTAINMENT - Male, high school graduate or higher","Margin of Error; EDUCATIONAL ATTAINMENT - Male, high school graduate or higher","Estimate; EDUCATIONAL ATTAINMENT - Female, high school graduate or higher","Margin of Error; EDUCATIONAL ATTAINMENT - Female, high school graduate or higher",Estimate; EDUCATIONAL ATTAINMENT - Bachelor's degree or higher,Margin of Error; EDUCATIONAL ATTAINMENT - Bachelor's degree or higher,"Estimate; EDUCATIONAL ATTAINMENT - Male, bachelor's degree or higher","Margin of Error; EDUCATIONAL ATTAINMENT - Male, bachelor's degree or higher","Estimate; EDUCATIONAL ATTAINMENT - Female, bachelor's degree or higher","Margin of Error; EDUCATIONAL ATTAINMENT - Female, bachelor's degree or higher",Estimate; FERTILITY - Women 15 to 50 years,Margin of Error; FERTILITY - Women 15 to 50 years,Estimate; INCOME IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS) - Median household income (dollars),Margin of Error; INCOME IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS) - Median household income (dollars)
0400000US01,01,Alabama,002,White alone,3333371,7259,49.1,0.1,50.9,0.1,5.6,0.1,15.7,0.1,9.2,0.1,12.1,0.1,12.6,0.1,14.4,0.1,13.6,0.1,9.6,0.1,7.2,0.1,41.1,0.2,710065,3634,51.5,0.3,48.5,0.3,2623306,4459,48.5,0.1,51.5,0.1,709277,4031,50.4,0.2,49.6,0.2,1352316,3227,49.5,0.1,50.5,0.1,561713,846,43.7,0.1,56.3,0.1,2317483,4282,14.3,0.4,30.8,0.5,29.3,0.6,16.2,0.4,9.4,0.3,85.7,0.4,84.7,0.6,86.6,0.5,25.6,0.5,26.5,0.6,24.8,0.6,759944,3533,48649,778
0400000US01,01,Alabama,004,Black or African American alone,1276164,5768,46.6,0.2,53.4,0.2,7.2,0.2,19.2,0.2,12.4,0.2,13.7,0.3,12.9,0.3,13.2,0.2,11.5,0.1,5.8,0.2,4.0,0.1,32.8,0.2,337448,3642,50.8,0.6,49.2,0.6,938716,3827,45.1,0.2,54.9,0.2,333636,4178,46.7,0.6,53.3,0.6,479125,3915,45.6,0.4,54.4,0.4,125955,1726,38.9,0.5,61.1,0.5,780045,3398,20.1,0.8,33.6,0.8,30.9,0.8,10.0,0.5,5.5,0.4,79.9,0.8,77.9,1.1,81.6,1.0,15.5,0.7,12.1,0.9,18.2,1.0,348960,3492,27493,914
0400000US02,02,Alaska,002,White alone,486551,2351,52.9,0.2,47.1,0.2,6.1,0.2,15.3,0.2,10.1,0.2,15.3,0.3,13.2,0.2,15.8,0.2,14.6,0.1,6.5,0.1,3.3,0.1,37.4,0.4,104041,1308,51.6,0.6,48.4,0.6,382510,1624,53.2,0.2,46.8,0.2,123352,1307,54.9,0.5,45.1,0.5,211892,1062,52.9,0.2,47.1,0.2,47266,502,50.5,0.5,49.5,0.5,333404,1683,5.0,0.6,24.5,1.2,37.7,1.2,19.7,1.1,13.2,0.9,95.0,0.6,95.1,0.6,94.8,1.0,32.8,1.4,29.6,1.7,36.4,2.0,116018,1438,74573,2186
0400000US02,02,Alaska,006,"American Indian and Alaska Native alone (300, A01-Z99)",102582,3525,50.8,1.1,49.2,1.1,8.9,0.7,22.9,1.3,11.4,0.8,13.9,1.0,11.9,1.2,13.4,0.9,10.0,0.7,4.4,0.5,3.1,0.5,29.8,0.7,32643,1949,54.0,2.1,46.0,2.1,69939,2252,49.3,1.4,50.7,1.4,26019,1511,49.8,2.5,50.2,2.5,36225,1837,50.6,2.2,49.4,2.2,7695,587,41.0,3.9,59.0,3.9,58212,2033,19.1,1.9,42.1,2.7,30.3,2.6,4.7,1.1,3.8,1.4,80.9,1.9,79.7,3.0,82.2,2.2,8.5,1.6,6.5,2.1,10.4,2.7,25453,1249,42556,4068
0400000US04,04,Arizona,002,White alone,5164199,17980,49.6,0.1,50.4,0.1,6.1,0.1,16.7,0.1,9.2,0.1,12.8,0.1,12.3,0.1,13.1,0.1,12.7,0.1,9.7,0.1,7.3,0.1,39.5,0.2,1173083,9618,51.2,0.3,48.8,0.3,3991116,11576,49.1,0.1,50.9,0.1,1135898,7243,51.3,0.2,48.7,0.2,1973853,7325,49.2,0.1,50.8,0.1,881365,2730,46.1,0.1,53.9,0.1,3514989,10334,12.6,0.3,24.3,0.4,34.6,0.4,17.9,0.3,10.6,0.2,87.4,0.3,87.0,0.4,87.8,0.4,28.5,0.4,29.9,0.6,27.1,0.5,1168631,6201,50071,595
0400000US04,04,Arizona,004,Black or African American alone,286343,6487,52.7,0.9,47.3,0.9,7.6,0.7,20.9,1.0,13.3,0.7,15.4,0.7,14.1,0.6,13.0,0.6,8.8,0.4,4.6,0.3,2.4,0.2,30.2,0.7,81419,4207,52.5,2.4,47.5,2.4,204924,3949,52.8,0.9,47.2,0.9,82031,3053,55.3,1.5,44.7,1.5,102879,2588,52.6,1.2,47.4,1.2,20014,851,43.7,1.9,56.3,1.9,166884,3568,11.7,1.5,22.3,1.9,43.4,2.2,14.8,1.6,7.8,1.3,88.3,1.5,86.4,2.2,90.3,1.7,22.6,2.0,22.6,2.8,22.5,2.4,73151,2513,38426,3980
0400000US04,04,Arizona,006,"American Indian and Alaska Native alone (300, A01-Z99)",289883,5051,49.5,0.6,50.5,0.6,9.0,0.5,22.2,0.6,14.2,0.5,14.8,0.5,12.6,0.5,11.9,0.5,8.0,0.4,4.5,0.3,2.9,0.2,27.8,0.5,90481,2892,49.1,1.4,50.9,1.4,199402,3362,49.7,0.7,50.3,0.7,83927,2117,52.2,1.2,47.8,1.2,94249,2493,49.2,1.1,50.8,1.1,21226,816,42.2,2.3,57.8,2.3,158351,3065,25.3,1.7,32.4,1.7,32.3,1.8,7.0,0.9,3.1,0.6,74.7,1.7,74.3,2.3,75.1,2.0,10.0,1.1,8.3,1.6,11.8,1.5,76386,2015,31014,1317
0400000US04,04,Arizona,012,Asian alone (400-499),190390,4062,46.2,0.7,53.8,0.7,5.7,0.6,15.9,0.8,9.5,0.7,18.7,0.8,18.2,0.7,12.9,0.7,9.7,0.5,5.8,0.5,3.5,0.3,35.1,0.6,41175,2475,50.9,2.4,49.1,2.4,149215,2832,44.9,0.7,55.1,0.7,53745,1722,49.1,2.0,50.9,2.0,77809,2307,43.5,0.8,56.5,0.8,17661,1017,38.5,2.6,61.5,2.6,131125,2720,10.9,1.5,12.7,1.7,20.9,2.0,31.6,2.2,23.9,2.1,89.1,1.5,92.1,1.9,86.8,1.8,55.5,2.6,61.1,3.6,51.2,3.0,59369,1799,62633,6825
0400000US04,04,Arizona,070,Some other race alone,420902,17783,51.5,1.1,48.5,1.1,8.5,0.8,23.7,1.2,13.6,0.9,16.3,1.1,14.8,0.9,11.4,0.7,6.5,0.7,3.1,0.5,2.1,0.3,27.4,0.8,135750,9773,51.3,1.8,48.7,1.8,285152,11412,51.6,1.2,48.4,1.2,125961,7250,53.8,2.0,46.2,2.0,137452,6261,51.1,1.4,48.9,1.4,21739,2643,41.7,4.1,58.3,4.1,227954,9679,37.8,2.2,26.6,1.7,26.0,1.9,7.5,1.0,2.3,0.5,62.2,2.2,62.8,2.6,61.7,2.6,9.7,1.1,8.8,1.5,10.7,1.5,113878,6206,35258,1933
