GEO.id,GEO.id2,GEO.display-label,POPGROUP.id,POPGROUP.display-label,EST_VC11,MOE_VC11,EST_VC12,MOE_VC12,EST_VC13,MOE_VC13,EST_VC16,MOE_VC16,EST_VC17,MOE_VC17,EST_VC18,MOE_VC18,EST_VC19,MOE_VC19,EST_VC20,MOE_VC20,EST_VC21,MOE_VC21,EST_VC22,MOE_VC22,EST_VC23,MOE_VC23,EST_VC24,MOE_VC24,EST_VC27,MOE_VC27,EST_VC36,MOE_VC36,EST_VC37,MOE_VC37,EST_VC38,MOE_VC38,EST_VC41,MOE_VC41,EST_VC42,MOE_VC42,EST_VC43,MOE_VC43,EST_VC46,MOE_VC46,EST_VC47,MOE_VC47,EST_VC48,MOE_VC48,EST_VC51,MOE_VC51,EST_VC52,MOE_VC52,EST_VC53,MOE_VC53,EST_VC56,MOE_VC56,EST_VC57,MOE_VC57,EST_VC58,MOE_VC58,EST_VC134,MOE_VC134,EST_VC135,MOE_VC135,EST_VC136,MOE_VC136,EST_VC137,MOE_VC137,EST_VC138,MOE_VC138,EST_VC139,MOE_VC139,EST_VC142,MOE_VC142,EST_VC143,MOE_VC143,EST_VC144,MOE_VC144,EST_VC145,MOE_VC145,EST_VC146,MOE_VC146,EST_VC147,MOE_VC147,EST_VC151,MOE_VC151,EST_VC318,MOE_VC318,EST_VC319,MOE_VC319
Id,Id2,Geography,Id,Population Group,Estimate; SEX AND AGE - Total population,Margin of Error; SEX AND AGE - Total population,Estimate; SEX AND AGE - Total population - Male,Margin of Error; SEX AND AGE - Total population - Male,Estimate; SEX AND AGE - Total population - Female,Margin of Error; SEX AND AGE - Total population - Female,Estimate; SEX AND AGE - Under 5 years,Margin of Error; SEX AND AGE - Under 5 years,Estimate; SEX AND AGE - 5 to 17 years,Margin of Error; SEX AND AGE - 5 to 17 years,Estimate; SEX AND AGE - 18 to 24 years,Margin of Error; SEX AND AGE - 18 to 24 years,Estimate; SEX AND AGE - 25 to 34 years,Margin of Error; SEX AND AGE - 25 to 34 years,Estimate; SEX AND AGE - 35 to 44 years,Margin of Error; SEX AND AGE - 35 to 44 years,Estimate; SEX AND AGE - 45 to 54 years,Margin of Error; SEX AND AGE - 45 to 54 years,Estimate; SEX AND AGE - 55 to 64 years,Margin of Error; SEX AND AGE - 55 to 64 years,Estimate; SEX AND AGE - 65 to 74 years,Margin of Error; SEX AND AGE - 65 to 74 years,Estimate; SEX AND AGE - 75 years and over,Margin of Error; SEX AND AGE - 75 years and over,Estimate; SEX AND AGE - Median age (years),Margin of Error; SEX AND AGE - Median age (years),Estimate; SEX AND AGE - Under 18 years,Margin of Error; SEX AND AGE - Under 18 years,Estimate; SEX AND AGE - Under 18 years - Male,Margin of Error; SEX AND AGE - Under 18 years - Male,Estimate; SEX AND AGE - Under 18 years - Female,Margin of Error; SEX AND AGE - Under 18 years - Female,Estimate; SEX AND AGE - 18 years and over,Margin of Error; SEX AND AGE - 18 years and over,Estimate; SEX AND AGE - 18 years and over - Male,Margin of Error; SEX AND AGE - 18 years and over - Male,Estimate; SEX AND AGE - 18 years and over - Female,Margin of Error; SEX AND AGE - 18 years and over - Female,Estimate; SEX AND AGE - 18 to 34 years,Margin of Error; SEX AND AGE - 18 to 34 years,Estimate; SEX AND AGE - 18 to 34 years - Male,Margin of Error; SEX AND AGE - 18 to 34 years - Male,Estimate; SEX AND AGE - 18 to 34 years - Female,Margin of Error; SEX AND AGE - 18 to 34 years - Female,Estimate; SEX AND AGE - 35 to 64 years,Margin of Error; SEX AND AGE - 35 to 64 years,Estimate; SEX AND AGE - 35 to 64 years - Male,Margin of Error; SEX AND AGE - 35 to 64 years - Male,Estimate; SEX AND AGE - 35 to 64 years - Female,Margin of Error; SEX AND AGE - 35 to 64 years - Female,Estimate; SEX AND AGE - 65 years and over,Margin of Error; SEX AND AGE - 65 years and over,Estimate; SEX AND AGE - 65 years and over - Male,Margin of Error; SEX AND AGE - 65 years and over - Male,Estimate; SEX AND AGE - 65 years and over - Female,Margin of Error; SEX AND AGE - 65 years and over - Female,Estimate; EDUCATIONAL ATTAINMENT - Population 25 years and over,Margin of Error; EDUCATIONAL ATTAINMENT - Population 25 years and over,Estimate; EDUCATIONAL ATTAINMENT - Population 25 years and over - Less than high school diploma,Margin of Error; EDUCATIONAL ATTAINMENT - Population 25 years and over - Less than high school diploma,Estimate; EDUCATIONAL ATTAINMENT - Population 25 years and over - High school graduate (includes equivalency),Margin of Error; EDUCATIONAL ATTAINMENT - Population 25 years and over - High school graduate (includes equivalency),Estimate; EDUCATIONAL ATTAINMENT - Population 25 years and over - Some college or associate's degree,Margin of Error; EDUCATIONAL ATTAINMENT - Population 25 years and over - Some college or associate's degree,Estimate; EDUCATIONAL ATTAINMENT - Population 25 years and over - Bachelor's degree,Margin of Error; EDUCATIONAL ATTAINMENT - Population 25 years and over - Bachelor's degree,Estimate; EDUCATIONAL ATTAINMENT - Population 25 years and over - Graduate or professional degree,Margin of Error; EDUCATIONAL ATTAINMENT - Population 25 years and over - Graduate or professional degree,Estimate; EDUCATIONAL ATTAINMENT - High school graduate or higher,Margin of Error; EDUCATIONAL ATTAINMENT - High school graduate or higher,"Estimate; EDUCATIONAL ATTAINMENT - High school graduate or higher - Male, high school graduate or higher","Margin of Error; EDUCATIONAL ATTAINMENT - High school graduate or higher - Male, high school graduate or higher","Estimate; EDUCATIONAL ATTAINMENT - High school graduate or higher - Female, high school graduate or higher","Margin of Error; EDUCATIONAL ATTAINMENT - High school graduate or higher - Female, high school graduate or higher",Estimate; EDUCATIONAL ATTAINMENT - Bachelor's degree or higher,Margin of Error; EDUCATIONAL ATTAINMENT - Bachelor's degree or higher,"Estimate; EDUCATIONAL ATTAINMENT - Bachelor's degree or higher - Male, bachelor's degree or higher","Margin of Error; EDUCATIONAL ATTAINMENT - Bachelor's degree or higher - Male, bachelor's degree or higher","Estimate; EDUCATIONAL ATTAINMENT - Bachelor's degree or higher - Female, bachelor's degree or higher","Margin of Error; EDUCATIONAL ATTAINMENT - Bachelor's degree or higher - Female, bachelor's degree or higher",Estimate; FERTILITY - Women 15 to 50 years,Margin of Error; FERTILITY - Women 15 to 50 years,Estimate; INCOME IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS) - Households,Margin of Error; INCOME IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS) - Households,Estimate; INCOME IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS) - Households - Median household income (dollars),Margin of Error; INCOME IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS) - Households - Median household income (dollars)
0400000US01,01,Alabama,002,White alone,3330478,7452,49.1,0.1,50.9,0.1,5.4,0.1,15.6,0.1,9.3,0.1,12.1,0.1,12.5,0.1,14.2,0.1,13.6,0.1,10.0,0.1,7.4,0.1,41.4,0.2,697746,4229,51.1,0.3,48.9,0.3,2632732,4566,48.6,0.1,51.4,0.1,711633,3924,50.9,0.3,49.1,0.3,1342063,4045,49.4,0.1,50.6,0.1,579036,1228,43.9,0.1,56.1,0.1,2323633,4623,13.8,0.4,30.6,0.5,30.0,0.4,16.2,0.4,9.4,0.3,86.2,0.4,85.9,0.5,86.5,0.5,25.6,0.5,26.2,0.6,25.0,0.6,755732,4280,1292500,9446,49465,726
0400000US01,01,Alabama,004,Black or African American alone,1284102,5822,46.5,0.3,53.5,0.3,6.9,0.2,18.9,0.2,12.7,0.3,13.8,0.3,12.7,0.3,13.0,0.2,11.9,0.1,6.1,0.2,3.9,0.1,33.1,0.3,332385,3872,50.1,0.8,49.9,0.8,951717,3346,45.2,0.2,54.8,0.2,340003,3827,47.6,0.7,52.4,0.7,482747,3953,45.1,0.4,54.9,0.4,128967,1644,39.1,0.7,60.9,0.7,788353,4308,19.4,0.6,33.4,1.1,30.7,1.0,10.4,0.7,6.1,0.5,80.6,0.6,78.1,1.0,82.6,1.0,16.5,0.9,12.9,1.0,19.3,1.2,352324,3517,469996,6224,29210,918
0400000US02,02,Alaska,002,White alone,487762,2607,53.4,0.2,46.6,0.2,6.3,0.1,15.2,0.2,10.4,0.2,15.7,0.2,12.7,0.2,14.8,0.2,14.5,0.1,6.9,0.1,3.5,0.1,36.8,0.4,104830,1409,52.6,0.8,47.4,0.8,382932,1727,53.6,0.2,46.4,0.2,127339,1450,55.8,0.5,44.2,0.5,205074,953,52.8,0.3,47.2,0.3,50519,652,51.3,0.6,48.7,0.6,332078,1404,4.6,0.5,25.3,1.1,36.9,1.2,21.1,1.2,12.1,0.9,95.4,0.5,94.9,0.7,95.9,0.7,33.2,1.3,30.0,1.7,36.7,1.7,113137,1595,183992,2701,79102,2827
0400000US02,02,Alaska,006,"American Indian and Alaska Native alone (300, A01-Z99)",105310,3347,50.4,1.2,49.6,1.2,9.0,0.6,22.7,1.3,12.3,0.9,15.2,1.0,10.2,0.9,12.7,0.8,9.9,0.7,4.9,0.7,3.2,0.4,28.4,0.9,33336,2147,51.3,2.4,48.7,2.4,71974,2121,49.9,1.4,50.1,1.4,28992,1605,52.2,2.1,47.8,2.1,34476,1400,49.9,2.1,50.1,2.1,8506,654,42.4,2.5,57.6,2.5,59041,1676,20.0,2.1,42.2,2.4,29.2,2.6,6.0,1.4,2.5,0.7,80.0,2.1,79.2,2.7,80.7,2.6,8.5,1.6,6.7,2.0,10.1,2.6,25599,1178,28588,1509,40705,2128
0400000US04,04,Arizona,002,White alone,5233466,20452,49.7,0.1,50.3,0.1,5.9,0.1,16.6,0.1,9.2,0.1,12.7,0.1,12.3,0.1,12.9,0.1,12.7,0.1,10.1,0.1,7.5,0.1,39.7,0.2,1179915,9422,51.4,0.3,48.6,0.3,4053551,13705,49.2,0.1,50.8,0.1,1147153,8552,51.4,0.3,48.6,0.3,1982397,7182,49.4,0.1,50.6,0.1,924001,3163,46.2,0.1,53.8,0.1,3569676,11051,12.2,0.3,24.8,0.4,34.3,0.4,18.1,0.3,10.7,0.3,87.8,0.3,87.0,0.5,88.6,0.4,28.7,0.4,29.6,0.6,27.9,0.5,1170099,8169,2007134,11179,50487,437
0400000US04,04,Arizona,004,Black or African American alone,277973,5853,52.8,0.8,47.2,0.8,7.4,0.6,19.9,0.9,12.9,0.5,15.3,0.7,14.9,0.6,12.7,0.4,9.9,0.4,4.9,0.3,2.2,0.2,31.7,0.7,75680,4081,51.8,2.1,48.2,2.1,202293,3020,53.1,0.7,46.9,0.7,78153,2661,54.1,1.6,45.9,1.6,104319,1960,53.7,1.0,46.3,1.0,19821,925,46.8,2.6,53.2,2.6,166546,2474,13.2,1.6,27.1,2.4,38.4,2.4,13.0,1.5,8.3,1.1,86.8,1.6,86.4,2.1,87.3,1.9,21.3,1.8,19.1,2.3,23.7,2.7,70871,2472,95553,3811,36528,1558
0400000US04,04,Arizona,006,"American Indian and Alaska Native alone (300, A01-Z99)",288294,6139,49.1,0.7,50.9,0.7,7.9,0.4,23.5,0.6,13.0,0.6,14.6,0.6,12.3,0.6,12.4,0.6,9.0,0.4,4.6,0.3,2.9,0.2,28.5,0.4,90370,3311,50.1,1.4,49.9,1.4,197924,4233,48.7,0.9,51.3,0.9,79340,2738,50.1,1.4,49.9,1.4,96980,2739,48.4,1.4,51.6,1.4,21604,968,44.6,2.2,55.4,2.2,160558,3446,24.8,1.5,31.4,1.8,33.5,1.9,7.0,1.0,3.3,0.7,75.2,1.5,75.3,2.1,75.1,1.9,10.3,1.2,9.3,1.7,11.3,1.5,76550,2467,76990,3215,30582,1721
0400000US04,04,Arizona,012,Asian alone (400-499),191718,5359,47.0,0.9,53.0,0.9,6.2,0.6,14.3,1.0,9.7,0.7,17.7,0.8,18.8,0.8,13.3,0.5,10.0,0.4,6.0,0.5,3.9,0.4,36.0,0.7,39426,3093,51.0,2.9,49.0,2.9,152292,3308,46.0,0.9,54.0,0.9,52507,2404,51.7,1.7,48.3,1.7,80813,1973,44.0,1.1,56.0,1.1,18972,1013,38.8,2.6,61.2,2.6,133664,2693,13.0,1.9,13.6,1.9,23.9,1.9,26.5,2.1,23.0,2.0,87.0,1.9,90.4,2.2,84.3,2.3,49.6,2.7,55.6,3.9,44.7,3.0,57597,2060,62971,2825,65257,3789
0400000US04,04,Arizona,070,Some other race alone,410756,18564,50.0,1.2,50.0,1.2,7.7,0.7,23.1,1.1,14.4,0.9,16.8,1.0,14.1,0.7,11.7,0.8,6.7,0.8,3.7,0.5,1.8,0.3,27.8,0.6,126379,8315,49.0,2.0,51.0,2.0,284377,12992,50.5,1.5,49.5,1.5,127974,7263,53.3,2.3,46.7,2.3,133757,7272,48.5,1.7,51.5,1.7,22646,2720,45.6,4.0,54.4,4.0,225386,10081,37.9,2.0,27.8,1.7,25.3,1.8,6.2,0.9,2.9,0.6,62.1,2.0,62.2,2.5,62.0,2.6,9.0,1.0,8.2,1.1,9.9,1.5,114624,6757,109012,4723,35134,1660
0400000US05,05,Arkansas,002,White alone,2305726,6481,49.3,0.1,50.7,0.1,5.8,0.1,16.2,0.1,9.1,0.1,12.5,0.2,12.3,0.1,13.5,0.1,13.0,0.1,10.0,0.1,7.5,0.1,40.4,0.2,508773,3675,51.5,0.5,48.5,0.5,1796953,4112,48.7,0.1,51.3,0.1,499071,3703,50.7,0.3,49.3,0.3,895939,3221,49.3,0.2,50.7,0.2,401943,1070,44.6,0.1,55.4,0.1,1586438,4163,14.2,0.5,35.3,0.6,28.7,0.6,14.2,0.5,7.6,0.3,85.8,0.5,85.4,0.6,86.1,0.7,21.8,0.6,21.7,0.7,21.9,0.8,517524,3530,907067,6482,43950,894
0400000US05,05,Arkansas,004,Black or African American alone,463928,4170,49.1,0.6,50.9,0.6,7.6,0.4,20.8,0.5,11.9,0.5,13.9,0.7,12.7,0.6,12.9,0.6,11.2,0.3,5.2,0.3,3.7,0.3,31.8,0.6,131862,3068,54.9,1.6,45.1,1.6,332066,2667,46.8,0.5,53.2,0.5,119655,3059,49.9,1.6,50.1,1.6,170869,2804,46.0,0.9,54.0,0.9,41542,1354,40.8,1.6,59.2,1.6,276858,2911,18.7,1.2,38.6,1.8,29.6,1.6,9.0,1.1,4.1,0.7,81.3,1.2,80.5,1.8,82.0,1.6,13.1,1.2,11.7,2.0,14.3,1.7,121339,2739,168951,3210,25540,1430
0400000US05,05,Arkansas,070,Some other race alone,66953,6137,54.8,3.1,45.2,3.1,10.0,1.5,27.7,2.5,12.4,1.8,18.1,3.1,17.9,2.6,7.4,1.7,4.4,1.3,1.4,1.0,0.8,0.7,24.9,1.9,25245,3143,54.5,6.3,45.5,6.3,41708,3827,55.1,3.0,44.9,3.0,20426,2513,54.1,6.0,45.9,6.0,19862,2611,56.9,3.8,43.1,3.8,1420,779,43.7,24.4,56.3,24.4,33385,3293,54.4,7.4,23.6,5.6,15.2,4.2,2.9,1.5,4.0,2.4,45.6,7.4,42.1,8.5,50.1,9.2,6.9,2.6,7.5,4.5,6.1,3.4,17860,2156,14842,1767,30320,3266
