Id2,Geography,Id,Population Group,Estimate; SEX AND AGE - Total population,Margin of Error; SEX AND AGE - Total population,Estimate; SEX AND AGE - Total population - Male,Margin of Error; SEX AND AGE - Total population - Male,Estimate; SEX AND AGE - Total population - Female,Margin of Error; SEX AND AGE - Total population - Female,Estimate; SEX AND AGE - Under 5 years,Margin of Error; SEX AND AGE - Under 5 years,Estimate; SEX AND AGE - 5 to 17 years,Margin of Error; SEX AND AGE - 5 to 17 years,Estimate; SEX AND AGE - 18 to 24 years,Margin of Error; SEX AND AGE - 18 to 24 years,Estimate; SEX AND AGE - 25 to 34 years,Margin of Error; SEX AND AGE - 25 to 34 years,Estimate; SEX AND AGE - 35 to 44 years,Margin of Error; SEX AND AGE - 35 to 44 years,Estimate; SEX AND AGE - 45 to 54 years,Margin of Error; SEX AND AGE - 45 to 54 years,Estimate; SEX AND AGE - 55 to 64 years,Margin of Error; SEX AND AGE - 55 to 64 years,Estimate; SEX AND AGE - 65 to 74 years,Margin of Error; SEX AND AGE - 65 to 74 years,Estimate; SEX AND AGE - 75 years and over,Margin of Error; SEX AND AGE - 75 years and over,Estimate; SEX AND AGE - Median age (years),Margin of Error; SEX AND AGE - Median age (years),Estimate; SEX AND AGE - Under 18 years,Margin of Error; SEX AND AGE - Under 18 years,Estimate; SEX AND AGE - Under 18 years - Male,Margin of Error; SEX AND AGE - Under 18 years - Male,Estimate; SEX AND AGE - Under 18 years - Female,Margin of Error; SEX AND AGE - Under 18 years - Female,Estimate; SEX AND AGE - 18 years and over,Margin of Error; SEX AND AGE - 18 years and over,Estimate; SEX AND AGE - 18 years and over - Male,Margin of Error; SEX AND AGE - 18 years and over - Male,Estimate; SEX AND AGE - 18 years and over - Female,Margin of Error; SEX AND AGE - 18 years and over - Female,Estimate; SEX AND AGE - 18 to 34 years,Margin of Error; SEX AND AGE - 18 to 34 years,Estimate; SEX AND AGE - 18 to 34 years - Male,Margin of Error; SEX AND AGE - 18 to 34 years - Male,Estimate; SEX AND AGE - 18 to 34 years - Female,Margin of Error; SEX AND AGE - 18 to 34 years - Female,Estimate; SEX AND AGE - 35 to 64 years,Margin of Error; SEX AND AGE - 35 to 64 years,Estimate; SEX AND AGE - 35 to 64 years - Male,Margin of Error; SEX AND AGE - 35 to 64 years - Male,Estimate; SEX AND AGE - 35 to 64 years - Female,Margin of Error; SEX AND AGE - 35 to 64 years - Female,Estimate; SEX AND AGE - 65 years and over,Margin of Error; SEX AND AGE - 65 years and over,Estimate; SEX AND AGE - 65 years and over - Male,Margin of Error; SEX AND AGE - 65 years and over - Male,Estimate; SEX AND AGE - 65 years and over - Female,Margin of Error; SEX AND AGE - 65 years and over - Female,Estimate; EDUCATIONAL ATTAINMENT - Population 25 years and over,Margin of Error; EDUCATIONAL ATTAINMENT - Population 25 years and over,Estimate; EDUCATIONAL ATTAINMENT - Population 25 years and over - Less than high school diploma,Margin of Error; EDUCATIONAL ATTAINMENT - Population 25 years and over - Less than high school diploma,Estimate; EDUCATIONAL ATTAINMENT - Population 25 years and over - High school graduate (includes equivalency),Margin of Error; EDUCATIONAL ATTAINMENT - Population 25 years and over - High school graduate (includes equivalency),Estimate; EDUCATIONAL ATTAINMENT - Population 25 years and over - Some college or associate's degree,Margin of Error; EDUCATIONAL ATTAINMENT - Population 25 years and over - Some college or associate's degree,Estimate; EDUCATIONAL ATTAINMENT - Population 25 years and over - Bachelor's degree,Margin of Error; EDUCATIONAL ATTAINMENT - Population 25 years and over - Bachelor's degree,Estimate; EDUCATIONAL ATTAINMENT - Population 25 years and over - Graduate or professional degree,Margin of Error; EDUCATIONAL ATTAINMENT - Population 25 years and over - Graduate or professional degree,Estimate; EDUCATIONAL ATTAINMENT - High school graduate or higher,Margin of Error; EDUCATIONAL ATTAINMENT - High school graduate or higher,"Estimate; EDUCATIONAL ATTAINMENT - High school graduate or higher - Male, high school graduate or higher","Margin of Error; EDUCATIONAL ATTAINMENT - High school graduate or higher - Male, high school graduate or higher","Estimate; EDUCATIONAL ATTAINMENT - High school graduate or higher - Female, high school graduate or higher","Margin of Error; EDUCATIONAL ATTAINMENT - High school graduate or higher - Female, high school graduate or higher",Estimate; EDUCATIONAL ATTAINMENT - Bachelor's degree or higher,Margin of Error; EDUCATIONAL ATTAINMENT - Bachelor's degree or higher,"Estimate; EDUCATIONAL ATTAINMENT - Bachelor's degree or higher - Male, bachelor's degree or higher","Margin of Error; EDUCATIONAL ATTAINMENT - Bachelor's degree or higher - Male, bachelor's degree or higher","Estimate; EDUCATIONAL ATTAINMENT - Bachelor's degree or higher - Female, bachelor's degree or higher","Margin of Error; EDUCATIONAL ATTAINMENT - Bachelor's degree or higher - Female, bachelor's degree or higher",Estimate; FERTILITY - Women 15 to 50 years,Margin of Error; FERTILITY - Women 15 to 50 years,Estimate; INCOME IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) - Households,Margin of Error; INCOME IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) - Households,Estimate; INCOME IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) - Households - Median household income (dollars),Margin of Error; INCOME IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) - Households - Median household income (dollars)
1,Alabama,2,White alone,3320273,6197,49,0.1,51,0.1,5.4,0.1,15.3,0.1,9.1,0.1,12.2,0.1,12.3,0.1,14,0.1,13.8,0.1,10.3,0.1,7.5,0.1,41.8,0.2,686720,3431,51.2,0.3,48.8,0.3,2633553,3762,48.5,0.1,51.5,0.1,707136,3562,50.6,0.2,49.4,0.2,1332447,3414,49.4,0.1,50.6,0.1,593970,1399,44,0.1,56,0.1,2331437,4252,13.3,0.4,31.2,0.5,29.6,0.5,16.2,0.4,9.7,0.3,86.7,0.4,86.1,0.5,87.2,0.5,25.9,0.4,26.4,0.6,25.4,0.6,749139,2954,1301024,8129,49652,722
1,Alabama,4,Black or African American alone,1291826,7415,46.6,0.3,53.4,0.3,7,0.2,18.7,0.3,12.1,0.3,13.9,0.3,13.1,0.3,12.7,0.3,11.9,0.1,6.3,0.1,4.3,0.2,33.8,0.2,331877,4564,51.1,0.9,48.9,0.9,959949,4515,45.1,0.2,54.9,0.2,335750,4003,47.2,0.5,52.8,0.5,486783,3945,45.2,0.4,54.8,0.4,137416,1960,39.6,0.6,60.4,0.6,803651,4121,19.4,0.8,34.1,1,30.8,1,10,0.6,5.6,0.5,80.6,0.8,78.3,1.2,82.4,0.8,15.6,0.8,12.4,1,18.2,1.1,349896,3544,477712,6311,28622,873
1,Alabama,70,Some other race alone,69859,6642,54.2,3.4,45.8,3.4,11.1,2,31.5,2.8,10.1,2.1,17.3,3,18.3,2.5,6.1,1.4,4,1.2,1.1,0.7,0.6,0.4,23.2,1.9,29694,3818,55,5.9,45,5.9,40165,3599,53.6,3.2,46.4,3.2,19144,2805,53,5.9,47,5.9,19830,2348,54.4,4.3,45.6,4.3,1191,624,51,21.8,49,21.8,33104,3068,50.5,5.4,21.1,4.5,17,3.8,9.4,2.6,2,1.6,49.5,5.4,42.7,6.7,57.3,7.1,11.4,3.5,7.7,4.7,15.6,5,16915,2016,15625,1780,27688,2869
2,Alaska,2,White alone,483584,2777,53.3,0.2,46.7,0.2,6,0.2,15.2,0.2,10.1,0.2,15.9,0.3,13,0.2,14.2,0.2,14.5,0.1,7.5,0.1,3.6,0.1,37.1,0.5,102411,1466,50.9,0.8,49.1,0.8,381173,1989,53.9,0.2,46.1,0.2,125853,1966,56.7,0.6,43.3,0.6,201765,1367,52.8,0.3,47.2,0.3,53555,673,51.4,0.6,48.6,0.6,332292,1769,4.3,0.6,24.5,1.1,38.2,1.4,21.2,0.9,11.8,0.9,95.7,0.6,95.5,0.7,95.9,0.8,33,1.3,29.5,1.5,37,2,111118,1554,185661,2963,79626,3213
2,Alaska,6,"American Indian and Alaska Native alone (300, A01-Z99)",103273,3251,50,1.2,50,1.2,9.2,0.7,22.7,1,12.3,0.8,14.6,0.8,10.9,0.8,12.8,0.7,9.3,0.7,5.2,0.4,2.9,0.4,28.7,0.8,33032,1881,52.1,2.2,47.9,2.2,70241,2156,49,1.3,51,1.3,27714,1316,50.9,2.2,49.1,2.2,34124,1568,48.4,2,51.6,2,8403,554,45.4,3.2,54.6,3.2,57557,1981,16.4,1.7,45.8,2.2,30.5,2.5,5.3,1,1.9,0.9,83.6,1.7,80.9,2.4,86.3,2.1,7.3,1.4,4.7,1.6,9.8,2.1,26015,1483,27515,1572,48721,2675
4,Arizona,2,White alone,5273335,23780,49.7,0.1,50.3,0.1,5.7,0.1,16.3,0.1,9.3,0.1,12.5,0.1,12.1,0.1,12.8,0.1,12.9,0.1,10.6,0.1,7.8,0.1,40.2,0.2,1161741,11806,51.2,0.3,48.8,0.3,4111594,15869,49.3,0.1,50.7,0.1,1148518,10156,51.7,0.3,48.3,0.3,1991757,7929,49.3,0.1,50.7,0.1,971319,2478,46.3,0.1,53.7,0.1,3620400,12206,12.1,0.3,24.1,0.4,34.9,0.4,18.2,0.4,10.7,0.2,87.9,0.3,87.2,0.4,88.5,0.4,28.9,0.4,29.6,0.4,28.2,0.5,1168434,8484,2015686,11869,51629,448
4,Arizona,4,Black or African American alone,280518,6306,52.6,0.8,47.4,0.8,7.7,0.6,18.8,1,12.2,0.8,16.2,0.6,14.2,0.6,12.3,0.4,10.2,0.4,5.1,0.3,3.3,0.4,31.8,0.8,74200,4163,52.6,2,47.4,2,206318,3639,52.6,0.7,47.4,0.7,79657,2991,54,1.3,46,1.3,103144,1927,53.2,0.9,46.8,0.9,23517,1029,44.8,2.4,55.2,2.4,172012,2586,10.6,1.4,24.2,2.3,40.7,2.3,15.5,1.7,9,1.1,89.4,1.4,88.8,1.9,90,1.7,24.5,2.1,23,2.6,26.1,2.9,69351,1949,96705,3626,40064,2108
4,Arizona,6,"American Indian and Alaska Native alone (300, A01-Z99)",294757,5954,48.9,0.8,51.1,0.8,8.4,0.4,22.6,0.7,12.7,0.6,15.5,0.7,12,0.6,12,0.5,9,0.4,4.6,0.3,3.1,0.2,28.4,0.6,91341,3370,52.2,1.6,47.8,1.6,203416,4351,47.4,0.9,52.6,0.9,83107,2694,50,1.7,50,1.7,97491,2733,46.4,1.2,53.6,1.2,22818,1127,42.3,2.1,57.7,2.1,165969,3978,23.4,1.5,33.5,1.6,33.6,1.7,6.3,0.9,3.2,0.6,76.6,1.5,75.2,2.1,77.8,1.8,9.6,1.1,6.7,1.3,12.1,1.6,77468,2844,80825,2874,30293,2870
4,Arizona,12,Asian alone (400-499),212116,4644,46,0.9,54,0.9,6.4,0.6,15.9,1,10,0.7,17.3,0.6,17.5,0.7,12.8,0.4,9.8,0.6,6.5,0.5,3.8,0.3,35.2,0.6,47331,2839,48.9,2.5,51.1,2.5,164785,3140,45.1,0.9,54.9,0.9,57805,2419,50.2,1.8,49.8,1.8,85147,2201,43,1.1,57,1.1,21833,1141,39.8,1.9,60.2,1.9,143588,2455,13.9,1.7,15.1,1.8,20.4,1.9,27.2,1.9,23.4,2.4,86.1,1.7,88.7,2.3,84,1.9,50.6,2.3,54.6,3.3,47.4,2.7,62334,1858,69603,2499,63943,3939
4,Arizona,70,Some other race alone,433934,21381,49.9,1.2,50.1,1.2,8.3,0.6,22.6,1.2,13.6,1,18.5,1,14.4,0.9,11.3,1,6.5,0.6,3.3,0.4,1.4,0.3,27.7,0.7,134066,9726,49.4,2.2,50.6,2.2,299868,14958,50,1.3,50,1.3,139415,9524,52.7,2.3,47.3,2.3,139827,7452,48.5,1.6,51.5,1.6,20626,2271,42.4,4.5,57.6,4.5,240748,11378,37.3,2.1,27.5,1.8,25.7,1.7,6.9,0.9,2.6,0.7,62.7,2.1,62.2,2.9,63.1,2.4,9.5,1.1,9.5,1.8,9.5,1.4,124280,7572,116911,5669,37428,1770
